# Source: NASA POWER S3 Zarr — 3-year average of Aug 22-29 (2022, 2023, 2024)
# See irradiance_aug_YYYY.csv files for per-year raw data
# Retrieved: 2026-06-21
location,cumulative_km,lat_grid,lon_grid,calendar_mmdd,years_averaged,ghi_Wm2_avg,clrsky_ghi_Wm2_avg,dni_Wm2_avg,diff_Wm2_avg,ghi_Whm2day_avg,clrsky_ghi_Whm2day_avg,dni_Whm2day_avg,diff_Whm2day_avg
Adelaide,3022,-34.5,138.5,08-22,3,151.34,195.61,218.29,42.34,3632.23,4694.6,5238.97,1016.27
Adelaide,3022,-34.5,138.5,08-23,3,151.57,197.78,216.62,53.98,3637.67,4746.7,5198.77,1295.53
Adelaide,3022,-34.5,138.5,08-24,3,159.6,200.7,223.52,48.37,3830.3,4816.87,5364.5,1160.9
Adelaide,3022,-34.5,138.5,08-25,3,158.96,198.6,199.16,63.28,3815.03,4766.47,4779.77,1518.73
Adelaide,3022,-34.5,138.5,08-26,3,163.03,201.17,217.76,56.3,3912.8,4828.07,5226.17,1351.17
Adelaide,3022,-34.5,138.5,08-27,3,177.66,204.5,248.54,52.42,4263.73,4908.07,5964.87,1258.0
Adelaide,3022,-34.5,138.5,08-28,3,187.92,205.58,264.5,45.1,4510.07,4933.93,6348.07,1082.37
Adelaide,3022,-34.5,138.5,08-29,3,164.7,207.08,215.87,54.09,3952.7,4969.83,5180.9,1298.23
Alice Springs,1400,-23.5,133.5,08-22,3,246.51,247.44,352.7,31.71,5916.17,5938.57,8464.73,761.13
Alice Springs,1400,-23.5,133.5,08-23,3,250.06,250.37,354.68,34.08,6001.5,6008.8,8512.4,818.0
Alice Springs,1400,-23.5,133.5,08-24,3,252.79,253.19,366.28,32.44,6067.03,6076.53,8790.73,778.57
Alice Springs,1400,-23.5,133.5,08-25,3,251.93,255.04,363.72,30.81,6046.3,6121.07,8729.17,739.43
Alice Springs,1400,-23.5,133.5,08-26,3,248.95,256.45,324.13,50.63,5974.7,6154.77,7779.07,1215.1
Alice Springs,1400,-23.5,133.5,08-27,3,253.77,257.78,359.66,31.24,6090.4,6186.63,8631.9,749.83
Alice Springs,1400,-23.5,133.5,08-28,3,210.82,256.53,283.52,44.05,5059.77,6156.7,6804.5,1057.2
Alice Springs,1400,-23.5,133.5,08-29,3,243.21,257.13,312.61,50.13,5837.1,6171.1,7502.53,1203.13
Barrow Creek,1120,-21.5,133.5,08-22,3,249.9,253.92,355.38,31.09,5997.6,6094.17,8529.03,746.07
