# Source: NASA POWER, power.larc.nasa.gov, S3 Zarr store nasa-power/syn1deg/temporal/power_syn1deg_daily_temporal_utc.zarr
# Variables: ALLSKY_SFC_SW_DWN (GHI), CLRSKY_SFC_SW_DWN, ALLSKY_SFC_SW_DNI, ALLSKY_SFC_SW_DIFF
# Grid resolution: 1-degree (nearest-grid-cell lookup)
# Units raw: W m-2 (daily mean); *_Whm2day = raw * 24 h = daily total Wh/m2/day
# Date range: 2023-08-22 to 2023-08-29 (mirrors BWSC 2027 race window)
# Retrieved: 2026-06-21
location,cumulative_km,lat_grid,lon_grid,date,ghi_Wm2,clrsky_ghi_Wm2,dni_Wm2,diff_Wm2,ghi_Whm2day,clrsky_ghi_Whm2day,dni_Whm2day,diff_Whm2day
Darwin,0,-12.5,130.5,2023-08-22,256.05,268.7,264.36,74.56,6145.2,6448.8,6344.6,1789.4
Darwin,0,-12.5,130.5,2023-08-23,265.27,271.77,272.68,67.23,6366.5,6522.5,6544.3,1613.5
Darwin,0,-12.5,130.5,2023-08-24,263.65,270.98,295.44,63.84,6327.6,6503.5,7090.6,1532.2
Darwin,0,-12.5,130.5,2023-08-25,266.7,272.21,283.18,65.62,6400.8,6533.0,6796.3,1574.9
Darwin,0,-12.5,130.5,2023-08-26,269.54,278.71,325.73,60.77,6469.0,6689.0,7817.5,1458.5
Darwin,0,-12.5,130.5,2023-08-27,269.14,278.02,304.78,61.21,6459.4,6672.5,7314.7,1469.0
Darwin,0,-12.5,130.5,2023-08-28,266.79,278.73,300.03,73.74,6403.0,6689.5,7200.7,1769.8
Darwin,0,-12.5,130.5,2023-08-29,278.52,284.33,328.82,61.73,6684.5,6823.9,7891.7,1481.5
Katherine,310,-14.5,132.5,2023-08-22,270.97,270.97,327.12,43.19,6503.3,6503.3,7850.9,1036.6
Katherine,310,-14.5,132.5,2023-08-23,271.5,271.64,338.58,41.31,6516.0,6519.4,8125.9,991.4
Katherine,310,-14.5,132.5,2023-08-24,271.12,271.18,330.09,40.74,6506.9,6508.3,7922.2,977.8
Katherine,310,-14.5,132.5,2023-08-25,271.86,271.9,330.04,41.24,6524.6,6525.6,7921.0,989.8
